天气之子,"
上映时间:
              2019-11-01
            ","
类型:
              爱情／动画／奇幻
            "
误杀,"
上映时间:
              2019-12-13
            ","
类型:
              剧情／犯罪
            "
唐人街探案2,"
上映时间:
              2018-02-16
            ","
类型:
              喜剧／动作／悬疑
            "
哪吒之魔童降世,"
上映时间:
              2019-07-26
            ","
类型:
              动画／喜剧／奇幻
            "
少年的你,"
上映时间:
              2019-10-25
            ","
类型:
              爱情／青春／剧情
            "
吹哨人,"
上映时间:
              2019-12-06
            ","
类型:
              剧情／犯罪／悬疑
            "
哥斯拉2：怪兽之王,"
上映时间:
              2019-05-31
            ","
类型:
              科幻／灾难／动作
            "
战狼2,"
上映时间:
              2017-07-27
            ","
类型:
              动作／战争
            "
毒液2,"
上映时间:
              2020-06-25
            ","
类型:
              动作／科幻／惊悚／恐怖
            "
恐怖电影院2,"
上映时间:
              2017-10-20
            ","
类型:
              恐怖／惊悚
            "
